[Tue Jan 26 14:56:02.575618 2016] [:error] [pid 3083] [client 127.0.0.1:33200] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 16, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=3
[Tue Jan 26 14:58:02.580383 2016] [:error] [pid 3315] [client 127.0.0.1:33201] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 13, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=3
[Tue Jan 26 15:00:02.580007 2016] [:error] [pid 3150] [client 127.0.0.1:33212] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 13, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=3
[Tue Jan 26 15:02:02.580827 2016] [:error] [pid 3167] [client 127.0.0.1:33216] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 13, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=3
[Tue Jan 26 15:03:20.779238 2016] [:error] [pid 1819] [client 127.0.0.1:33242] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 13, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=3
[Tue Jan 26 15:03:21.763821 2016] [:error] [pid 1819] [client 127.0.0.1:33242] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 13, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=3
[Tue Jan 26 15:15:19.950411 2016] [:error] [pid 3168] [client 127.0.0.1:33424] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 18, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=3
[Tue Jan 26 15:15:20.621986 2016] [:error] [pid 3168] [client 127.0.0.1:33424] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 18, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=3
[Tue Jan 26 15:15:20.822793 2016] [:error] [pid 3168] [client 127.0.0.1:33424] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 18, referer: http://test.loc/wp-admin/nav-menus.php?action=edit&menu=3
[Tue Jan 26 15:27:44.581891 2016] [:error] [pid 3315] [client 127.0.0.1:33446] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 19, referer: http://test.loc/wp-admin/edit.php?post_type=post_thumbnails
[Tue Jan 26 15:30:11.587479 2016] [:error] [pid 3168] [client 127.0.0.1:33476] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 32, referer: http://test.loc/wp-admin/edit.php?post_type=post_thumbnails
